u,g,r,i,z,u_err,g_err,r_err,i_err,z_err,specz,specz_err,photoz,photoz_err
21.36206,20.48996,20.48996,19.58353,19.22931,0.2383533,0.04489499,0.05235139,0.05556708,0.1304353,0.5410616,9.562389E-05,0.355157,0.19389
20.22481,20.85082,20.85082,19.3653,18.61221,0.2385617,0.1681357,0.09636208,0.0991229,0.2019924,0.5883676,0.0001977824,0.546494,0.058246
20.79382,22.12799,22.12799,19.90169,19.2675,0.2664679,0.256404,0.1866968,0.09024367,0.204253,0.5222747,0.0001816066,0.585201,0.051538
29.04109,21.89663,21.89663,19.15025,18.88961,0.2081966,0.2728308,0.08729484,0.1134426,0.1527464,0.4711249,0.000144067,0.446318,0.021068
20.88343,22.03298,22.03298,19.57136,19.38412,0.2836799,0.2972977,0.1044692,0.07594644,0.2256313,0.448644,0.0001614203,0.487312,0.028063
21.2164,21.81138,21.81138,19.5288,18.79231,0.2895889,0.2438455,0.09724758,0.06432597,0.1200568,0.5311971,0.0001312288,0.506082,0.032252
21.27872,21.70317,21.70317,19.62922,19.2704,0.295005,0.2151867,0.111149,0.09064112,0.2615981,0.4581851,1.64191E-05,0.56906,0.042511
29.60707,21.42425,21.42425,19.35154,19.0759,0.2967149,0.1707403,0.06257323,0.07575469,0.2324489,0.4983567,9.66463E-05,0.475198,0.040594
28.22812,21.59447,21.59447,19.18267,18.76053,0.2777853,0.1871367,0.09164298,0.06664997,0.1486625,0.5759526,0.0002878634,0.560175,0.024859
20.03708,20.09387,20.09387,19.44244,19.10785,0.1738149,0.05681751,0.07335813,0.08651929,0.2016409,0.6174814,0.0003042692,0.585895,0.150334
20.34159,20.21618,20.21618,19.86092,19.58897,0.08765523,0.03370919,0.05032133,0.05772277,0.1705883,0.5887828,0.0004129487,0.50685,0.140941
20.66361,21.87248,21.87248,19.69762,19.034,0.2122815,0.2224293,0.158399,0.1015466,0.2453164,0.5407177,0.0002015018,0.595569,0.063953
20.33716,21.29667,21.29667,18.78814,18.35315,0.2836149,0.2714705,0.1868569,0.0914758,0.261671,0.5805059,0.0001937644,0.60503,0.040621
